text,category,priority,location
Nala near LB Nagar encroached blocking water flow!,Drainage,Medium,LB Nagar
High voltage sparks from wire near Lakshmi Puram.,Electricity,Critical,Lakshmi Puram
Underground drainage choked in Himayatnagar for 10 days.,Drainage,Medium,Himayatnagar
Cable theft causing power outage in Himayatnagar.,Electricity,Medium,Himayatnagar
Septic tank overflow in near school colony.,Drainage,Medium,near school
Road construction incomplete in Kukatpally for Monday.,Roads,Medium,Kukatpally
Road condition in Ameerpet is very bad due to potholes.,Roads,Medium,Ameerpet
water is not supplied for 3 days and people are suffering.,Water Supply,Medium,Ward 7
Manhole open in Ward 5 road is dangerous.,Drainage,Medium,Ward 5
Damaged street light post on Himayatnagar road.,Street Lighting,Medium,Himayatnagar
Unhygienic conditions in Ward 7 market due to garbage.,Sanitation,Medium,Ward 7
Sewage water mixing with drinking water in Gandhi Nagar.,Water Supply,Medium,Gandhi Nagar
Open defecation near Patel Nagar because of no toilet.,Sanitation,Medium,Patel Nagar
The pipeline near outer ring road is leaking and water is wasted!,Water Supply,Medium,outer ring road
road markings faded on ward 7 road posing danger.,Roads,Low,Ward 7
sewage pumping station failed in rajampet.,Drainage,Medium,Rajampet
Bad smell from drain near Himayatnagar.,Drainage,Medium,Himayatnagar
The road near New Town has too many potholes!,Roads,Medium,New Town
Water meter damaged in Uppal colony.,Water Supply,Low,Uppal
cable theft causing power outage in ambedkar nagar.,Electricity,Medium,Ambedkar Nagar
Main drain in Ramaiah Street blocked after heavy rain!,Drainage,Medium,Ramaiah Street
Power supply cut without prior notice in MG Road.,Electricity,Medium,MG Road
transformer noise disturbing residents of new town.,Electricity,Low,New Town
New streets in near government hospital have no street light installed.,Street Lighting,Medium,near government hospital
the pipeline near new town is leaking and water is wasted.,Water Supply,Medium,New Town
no sanitation service in our locality in uppal.,Sanitation,Medium,Uppal
Irregular water supply in Dilsukhnagar residential area.,Water Supply,Medium,Dilsukhnagar
no water in uppal apartment complex for 3 days.,Water Supply,High,Uppal
Many potholes on main road in Ambedkar Nagar causing accidents.,Roads,High,Ambedkar Nagar
Electric wire hanging low on near government hospital road dangerous.,Electricity,Medium,near government hospital
Speed breaker missing near school in outer ring road!,Roads,Medium,outer ring road
Open sewer near Rajampet market causing health risk.,Drainage,Medium,Rajampet
Road divider broken on Nehru Colony highway.,Roads,Medium,Nehru Colony
power disruption causing losses to businesses in nehru colony.,Electricity,Medium,Nehru Colony
Unhygienic conditions in Ashok Nagar market due to garbage.,Sanitation,Medium,Ashok Nagar
Power supply quality poor with low voltage in Dilsukhnagar.,Electricity,Medium,Dilsukhnagar
Water is not supplied for a month and people are suffering!,Water Supply,Medium,Begumpet
Drainage water entering homes in near school.,Drainage,High,near school
Road excavation by contractor in Dilsukhnagar not restored.,Roads,Medium,Dilsukhnagar
Water supply is completely disrupted in our area since since last month.,Water Supply,High,Ramaiah Street
Footpath damaged near Srinivasa Nagar causing inconvenience.,Roads,Low,Srinivasa Nagar
new streets in near government hospital have no street light installed.,Street Lighting,Medium,near government hospital
Underground drainage choked in Jubilee Hills for 1 week!,Drainage,Medium,Jubilee Hills
Road repair needed urgently in Kukatpally!,Roads,Medium,Kukatpally
Garbage vehicle not coming to Old Town since 3 days!,Sanitation,Medium,Old Town
Main water pipe burst on Indira Nagar road causing wastage!,Water Supply,Medium,Indira Nagar
Park in Ameerpet has no lighting making it unsafe!,Street Lighting,High,Ameerpet
entire rtc bus stand area dark at night due to power failure.,Street Lighting,Medium,RTC Bus Stand
garbage vehicle not coming to nehru colony since a month.,Sanitation,Medium,Nehru Colony
Sewage water mixing with drinking water in Uppal!,Water Supply,Medium,Uppal
Water meter damaged in Jubilee Hills colony.,Water Supply,Low,Jubilee Hills
No water coming from tap for more than a week in Ramaiah Street.,Water Supply,High,Ramaiah Street
Water standing in New Town for 15 days due to poor drainage!,Drainage,Medium,New Town
street light pole broken near indira nagar.,Street Lighting,Medium,Indira Nagar
Street light reports pending for since last month in Ward 5.,Street Lighting,Medium,Ward 5
Street lights not working in Ward 5 for 5 days.,Street Lighting,Medium,Ward 5
Solar street lights not working in Srinivasa Nagar for yesterday.,Street Lighting,Medium,Srinivasa Nagar
Dirty water is coming from tap in Anna Nagar.,Water Supply,Medium,Anna Nagar
Sewage water on road in Uppal creating unhygienic conditions.,Drainage,Medium,Uppal
waste segregation not done by staff in ward 12.,Sanitation,Medium,Ward 12
Transformer blown in near government hospital area since more than a week!,Electricity,High,near government hospital
dirty water is coming from the tap in main junction.,Water Supply,Medium,main junction
Electricity restored but flickering continuously in RTC Bus Stand!,Electricity,Medium,RTC Bus Stand
Littering problem on Bhagath Singh Nagar beach area.,Sanitation,Low,Bhagath Singh Nagar
Waste segregation not done by staff in Jubilee Hills.,Sanitation,Medium,Jubilee Hills
Water supply is interrupted daily in Bose Nagar!,Water Supply,Medium,Bose Nagar
Street lights on Station Road road are dim and not enough!,Street Lighting,Medium,Station Road
street lamp broken near lakshmi puram school.,Street Lighting,Medium,Lakshmi Puram
Water logging in Gandhi Nagar due to blocked drainage!,Drainage,Medium,Gandhi Nagar
Water tanker not coming for 2 weeks to ECIL.,Water Supply,Medium,ECIL
Water contamination noticed in LB Nagar supply!,Water Supply,Critical,LB Nagar
Ward Ward 12 has been facing water shortage since 2 months.,Water Supply,High,Ward 12
park in ramaiah street has no lighting making it unsafe.,Street Lighting,High,Ramaiah Street
Vandalism of street light in Dilsukhnagar colony.,Street Lighting,Medium,Dilsukhnagar
Sweeper has not visited Bose Nagar for 10 days!,Sanitation,Medium,Bose Nagar
septic tank overflow in kukatpally colony.,Drainage,Medium,Kukatpally
Water meter damaged in Bose Nagar colony!,Water Supply,Low,Bose Nagar
Sewer line broken near Patel Nagar causing leakage!,Drainage,Medium,Patel Nagar
main water pipe burst on bose nagar road causing wastage.,Water Supply,Medium,Bose Nagar
Flooding in Jubilee Hills due to inadequate drainage!,Drainage,High,Jubilee Hills
Drinking water pipeline broken near Anna Nagar!,Water Supply,High,Anna Nagar
road divider broken on ramaiah street highway.,Roads,Medium,Ramaiah Street
Our entire street has been without water since 2 weeks.,Water Supply,Medium,near school
Garbage truck route skipping Lakshmi Puram area.,Sanitation,Medium,Lakshmi Puram
low water pressure in patel nagar for the past 5 days.,Water Supply,Medium,Patel Nagar
road divider broken on himayatnagar highway.,Roads,Medium,Himayatnagar
Sewage water mixing with drinking water in Nehru Colony.,Water Supply,Medium,Nehru Colony
Dustbin near Rajampet is full and not cleared for 15 days!,Sanitation,Medium,Rajampet
Several street lights off on Ward 5 road for 3 days.,Street Lighting,Medium,Ward 5
Meter not working properly at Ambedkar Nagar!,Electricity,Low,Ambedkar Nagar
electric pole damaged near new town road.,Electricity,Medium,New Town
road near near school has large cracks and is sinking.,Roads,High,near school
street light cable stolen in near school colony.,Street Lighting,Medium,near school
Drain near ECIL is blocked and water is overflowing.,Drainage,Medium,ECIL
Road not repaired for yesterday in Old Town.,Roads,Medium,Old Town
Street light timer malfunction in Dilsukhnagar ward.,Street Lighting,Low,Dilsukhnagar
narrow road in station road causing traffic jams.,Roads,Low,Station Road
Electricity restored but flickering continuously in Ambedkar Nagar.,Electricity,Medium,Ambedkar Nagar
Open sewer near Rajampet market causing health risk!,Drainage,Medium,Rajampet
Water supply cut without notice in Jubilee Hills area.,Water Supply,Medium,Jubilee Hills
street light timer malfunction in bhagath singh nagar ward.,Street Lighting,Low,Bhagath Singh Nagar
High voltage sparks from wire near Gandhi Nagar!,Electricity,Critical,Gandhi Nagar
Street lights not working in near railway station for 3 days!,Street Lighting,Medium,near railway station
Road divider broken on Bose Nagar highway.,Roads,Medium,Bose Nagar
Solar street lights not working in ECIL for more than a week.,Street Lighting,Medium,ECIL
Sewage pumping station failed in Himayatnagar!,Drainage,Medium,Himayatnagar
Electricity restored but flickering continuously in Gandhi Nagar.,Electricity,Medium,Gandhi Nagar
Open defecation near Ambedkar Nagar because of no toilet!,Sanitation,Medium,Ambedkar Nagar
footpath damaged near bose nagar causing inconvenience.,Roads,Low,Bose Nagar
Electricity bill is incorrect for connection in MG Road.,Electricity,Medium,MG Road
Main drain in near school blocked after heavy rain!,Drainage,Medium,near school
several street lights off on station road road for last week.,Street Lighting,Medium,Station Road
Electric pole damaged near near school road.,Electricity,Medium,near school
fuse box damaged in begumpet locality.,Electricity,Medium,Begumpet
Open garbage dumped near near school park.,Sanitation,Medium,near school
Industrial waste illegally dumped near New Town.,Sanitation,Medium,New Town
public toilet near old town is very dirty and needs cleaning.,Sanitation,Medium,Old Town
Road repair needed urgently in Dilsukhnagar.,Roads,Medium,Dilsukhnagar
Nala near Rajampet encroached blocking water flow.,Drainage,Medium,Rajampet
Road excavation by contractor in Bose Nagar not restored.,Roads,Medium,Bose Nagar
Garbage bins in LB Nagar are overflowing!,Sanitation,High,LB Nagar
open garbage dumped near ramaiah street park.,Sanitation,Medium,Ramaiah Street
Road markings faded on near school road posing danger.,Roads,Low,near school
Traffic island on Begumpet road is broken.,Roads,Medium,Begumpet
Unauthorized construction blocking Kukatpally road.,Roads,Medium,Kukatpally
Electricity restored but flickering continuously in Nehru Colony.,Electricity,Medium,Nehru Colony
many potholes on the main road in nehru colony causing accidents.,Roads,High,Nehru Colony
Littering problem on ECIL beach area.,Sanitation,Low,ECIL
Waste segregation not done by staff in Ashok Nagar.,Sanitation,Medium,Ashok Nagar
Power failure in Himayatnagar since 3 days causing problems!,Electricity,High,Himayatnagar
no water coming from tap for 4 days in ramaiah street.,Water Supply,High,Ramaiah Street
Garbage has not been collected in Nehru Colony for 15 days.,Sanitation,Medium,Nehru Colony
Water is not supplied for Monday and people are suffering.,Water Supply,Medium,outer ring road
Damaged street light post on outer ring road road!,Street Lighting,Medium,outer ring road
Several street lights off on Kukatpally road for 1 week!,Street Lighting,Medium,Kukatpally
Drainage work done but not completed in Station Road!,Drainage,Medium,Station Road
No potable water available in LB Nagar ward.,Water Supply,Medium,LB Nagar
Water standing in Ward 5 for 5 days due to poor drainage!,Drainage,Medium,Ward 5
Garbage vehicle not coming to MG Road since 4 days.,Sanitation,Medium,MG Road
Drainage system in LB Nagar is choked and needs cleaning.,Drainage,Medium,LB Nagar
Stormwater drain not maintained in Rajampet for Monday.,Drainage,Medium,Rajampet
Women feel unsafe walking on main junction due to no street lights.,Street Lighting,Medium,main junction
Dirty water is coming from tap in Patel Nagar.,Water Supply,Medium,Patel Nagar
Electricity restored but flickering continuously in near railway station!,Electricity,Medium,near railway station
Street lights remain ON during daytime in Indira Nagar wasting electricity.,Street Lighting,Medium,Indira Nagar
open sewer near main junction market causing health risk.,Drainage,Medium,main junction
Entire near government hospital area dark at night due to power failure!,Street Lighting,Medium,near government hospital
Electricity supply disrupted for Monday in near school.,Electricity,Medium,near school
Water supply disruption affecting Gandhi Nagar colony!,Water Supply,Medium,Gandhi Nagar
Water supply cut without notice in ECIL area.,Water Supply,Medium,ECIL
solid waste management failure in station road ward.,Sanitation,Medium,Station Road
Solid waste management failure in LB Nagar ward.,Sanitation,Medium,LB Nagar
Unhygienic conditions in Anna Nagar market due to garbage.,Sanitation,Medium,Anna Nagar
Traffic island on Bose Nagar road is broken.,Roads,Medium,Bose Nagar
vandalism of street light in ashok nagar colony.,Street Lighting,Medium,Ashok Nagar
Ward Rajampet has been facing water shortage since 15 days.,Water Supply,High,Rajampet
Main road in Dilsukhnagar is waterlogged after rain.,Roads,Medium,Dilsukhnagar
Traffic island on Lakshmi Puram road is broken.,Roads,Medium,Lakshmi Puram
Road markings faded on Himayatnagar road posing danger.,Roads,Low,Himayatnagar
New electricity connection not provided in Gandhi Nagar for 4 days.,Electricity,Medium,Gandhi Nagar
Fuse box damaged in Begumpet locality.,Electricity,Medium,Begumpet
Street light timer malfunction in Begumpet ward.,Street Lighting,Low,Begumpet
Dirty water is coming from the tap in Lakshmi Puram.,Water Supply,Medium,Lakshmi Puram
Sewage pumping station failed in ECIL.,Drainage,Medium,ECIL
Electric wire hanging low on Himayatnagar road dangerous.,Electricity,Medium,Himayatnagar
our entire street has been without water since 3 months.,Water Supply,Medium,Kukatpally
water supply cut without notice in ambedkar nagar area.,Water Supply,Medium,Ambedkar Nagar
Water supply is completely disrupted in our area since 5 days!,Water Supply,High,Ward 12
Narrow road in MG Road causing traffic jams.,Roads,Low,MG Road
led street light needs replacement in ameerpet.,Street Lighting,Medium,Ameerpet
new electricity connection not provided in uppal for 2 weeks.,Electricity,Medium,Uppal
Open sewer near outer ring road market causing health risk!,Drainage,Medium,outer ring road
Drain not cleaned before monsoon in Indira Nagar!,Drainage,Low,Indira Nagar
Nala near RTC Bus Stand encroached blocking water flow.,Drainage,Medium,RTC Bus Stand
Open defecation near Ward 7 because of no toilet.,Sanitation,Medium,Ward 7
Sweeper has not visited Bose Nagar for last week!,Sanitation,Medium,Bose Nagar
Street light pole broken near Bose Nagar!,Street Lighting,Medium,Bose Nagar
Water logging in Himayatnagar due to blocked drainage!,Drainage,Medium,Himayatnagar
Water supply disruption affecting Anna Nagar colony.,Water Supply,Medium,Anna Nagar
Drain not cleaned in Srinivasa Nagar for since last month causing flooding.,Drainage,High,Srinivasa Nagar
Women feel unsafe walking on outer ring road due to no street lights!,Street Lighting,Medium,outer ring road
High voltage sparks from wire near Nehru Colony.,Electricity,Critical,Nehru Colony
Power supply quality poor with low voltage in MG Road.,Electricity,Medium,MG Road
Sewage water mixing with drinking water in Jubilee Hills!,Water Supply,Medium,Jubilee Hills
Garbage vehicle not coming to Begumpet since 2 days.,Sanitation,Medium,Begumpet
Loose electric wire on road near MG Road is dangerous!,Electricity,Critical,MG Road
High voltage sparks from wire near Patel Nagar.,Electricity,Critical,Patel Nagar
Public places dirty due to no sweeping in LB Nagar!,Sanitation,Medium,LB Nagar
Pipeline leakage causing water logging in Ashok Nagar.,Water Supply,Critical,Ashok Nagar
Water logging in Station Road due to blocked drainage.,Drainage,Medium,Station Road
Power disruption causing losses to businesses in Lakshmi Puram.,Electricity,Medium,Lakshmi Puram
Road excavation by contractor in Bhagath Singh Nagar not restored!,Roads,Medium,Bhagath Singh Nagar
Water supply cut without notice in Ambedkar Nagar area!,Water Supply,Medium,Ambedkar Nagar
Loose electric wire on road near Begumpet is dangerous!,Electricity,Critical,Begumpet
street light pole broken near dilsukhnagar.,Street Lighting,Medium,Dilsukhnagar
Electric pole damaged near Anna Nagar road.,Electricity,Medium,Anna Nagar
Overhead cable broken and lying on road in Old Town.,Electricity,Medium,Old Town
Nala near Indira Nagar encroached blocking water flow!,Drainage,Medium,Indira Nagar
open garbage dumped near ward 12 park.,Sanitation,Medium,Ward 12
Unauthorized construction blocking Bose Nagar road.,Roads,Medium,Bose Nagar
Public places dirty due to no sweeping in Kukatpally!,Sanitation,Medium,Kukatpally
construction debris not removed from dilsukhnagar for 5 days.,Sanitation,Medium,Dilsukhnagar
dustbin near himayatnagar is full and not cleared for 10 days.,Sanitation,Medium,Himayatnagar
women feel unsafe walking on lakshmi puram due to no street lights.,Street Lighting,Medium,Lakshmi Puram
street light cable stolen in ramaiah street colony.,Street Lighting,Medium,Ramaiah Street
Many potholes on the main road in Nehru Colony causing accidents.,Roads,High,Nehru Colony
Littering problem on near railway station beach area.,Sanitation,Low,near railway station
Irregular water supply in MG Road residential area!,Water Supply,Medium,MG Road
Speed breaker missing near school in Nehru Colony!,Roads,Medium,Nehru Colony
Street light timer malfunction in Nehru Colony ward.,Street Lighting,Low,Nehru Colony
frequent power outages in dilsukhnagar colony.,Electricity,Medium,Dilsukhnagar
Underground drainage choked in Ward 12 for last Tuesday!,Drainage,Medium,Ward 12
Street lamp broken near Gandhi Nagar school.,Street Lighting,Medium,Gandhi Nagar
Public water tap not working in Ambedkar Nagar for more than a week.,Water Supply,Medium,Ambedkar Nagar
Public toilet near Ward 5 is very dirty and needs cleaning.,Sanitation,Medium,Ward 5
park in old town has no lighting making it unsafe.,Street Lighting,High,Old Town
Main water pipe burst on Dilsukhnagar road causing wastage.,Water Supply,Medium,Dilsukhnagar
Public toilet near Dilsukhnagar is very dirty and needs cleaning!,Sanitation,Medium,Dilsukhnagar
Flooding in Indira Nagar due to inadequate drainage.,Drainage,High,Indira Nagar
electricity bill is incorrect for connection in rajampet.,Electricity,Medium,Rajampet
Overhead cable broken and lying on road in Ramaiah Street!,Electricity,Medium,Ramaiah Street
Drainage water entering homes in LB Nagar!,Drainage,High,LB Nagar
Garbage truck route skipping Bose Nagar area!,Sanitation,Medium,Bose Nagar
Drainage work done but not completed in Srinivasa Nagar.,Drainage,Medium,Srinivasa Nagar
New colony Ward 5 not provided with street lights!,Street Lighting,Medium,Ward 5
Drainage system in RTC Bus Stand is choked and needs cleaning.,Drainage,Medium,RTC Bus Stand
Drainage system in Market Area is choked and needs cleaning!,Drainage,Medium,Market Area
Sewage smell coming from Uppal street!,Sanitation,Medium,Uppal
Drainage work done but not completed in Ward 5!,Drainage,Medium,Ward 5
sewage pumping station failed in indira nagar.,Drainage,Medium,Indira Nagar
Drainage canal blocked near Station Road bridge!,Drainage,Medium,Station Road
new colony ambedkar nagar not provided with street lights.,Street Lighting,Medium,Ambedkar Nagar
LED street light needs replacement in Bose Nagar!,Street Lighting,Medium,Bose Nagar
Road markings faded on Ashok Nagar road posing danger!,Roads,Low,Ashok Nagar
water is not supplied for monday and people are suffering.,Water Supply,Medium,Bhagath Singh Nagar
Road divider broken on LB Nagar highway.,Roads,Medium,LB Nagar
Street lights on ECIL road are dim and not enough.,Street Lighting,Medium,ECIL
Open sewer near Nehru Colony market causing health risk.,Drainage,Medium,Nehru Colony
waste burning happening near mg road affecting air quality.,Sanitation,Medium,MG Road
Drainage canal blocked near Ambedkar Nagar bridge!,Drainage,Medium,Ambedkar Nagar
Transformer noise disturbing residents of Lakshmi Puram.,Electricity,Low,Lakshmi Puram
Low water pressure in Ward 12 for the past since last month!,Water Supply,Medium,Ward 12
Garbage truck route skipping Gandhi Nagar area!,Sanitation,Medium,Gandhi Nagar
many potholes on the main road in ameerpet causing accidents.,Roads,High,Ameerpet
main drain in old town blocked after heavy rain.,Drainage,Medium,Old Town
public places dirty due to no sweeping in gandhi nagar.,Sanitation,Medium,Gandhi Nagar
Street lights remain ON during daytime in Gandhi Nagar wasting electricity!,Street Lighting,Medium,Gandhi Nagar
There has been no water supply in Nehru Colony for several days!,Water Supply,High,Nehru Colony
Street light cable stolen in Ameerpet colony.,Street Lighting,Medium,Ameerpet
Hand pump not working in Market Area for Monday!,Water Supply,Medium,Market Area
Underground drainage choked in Ashok Nagar for 7 days.,Drainage,Medium,Ashok Nagar
Drainage canal blocked near Ambedkar Nagar bridge.,Drainage,Medium,Ambedkar Nagar
frequent power outages in near school colony.,Electricity,Medium,near school
street light near ameerpet is not functioning since monday.,Street Lighting,Medium,Ameerpet
Bad smell from drain near Anna Nagar!,Drainage,Medium,Anna Nagar
flooding in ward 5 due to inadequate drainage.,Drainage,High,Ward 5
Power cuts happening frequently in Ward 5.,Electricity,Medium,Ward 5
our entire street has been without water since 2 months.,Water Supply,Medium,Ramaiah Street
the stretch of road near uppal is damaged and dangerous.,Roads,High,Uppal
Sweeper has not visited Market Area for last Tuesday!,Sanitation,Medium,Market Area
Dark roads in near school due to non-working street lights.,Street Lighting,High,near school
water standing in lakshmi puram for several days due to poor drainage.,Drainage,Medium,Lakshmi Puram
Main drain in outer ring road blocked after heavy rain!,Drainage,Medium,outer ring road
Sewage pumping station failed in Ambedkar Nagar!,Drainage,Medium,Ambedkar Nagar
road surface broken in indira nagar after heavy rain.,Roads,Medium,Indira Nagar
Flickering street light near New Town disturbing residents.,Street Lighting,Low,New Town
Unauthorized construction blocking LB Nagar road.,Roads,Medium,LB Nagar
Digging work done on Nehru Colony road not filled properly.,Roads,Medium,Nehru Colony
Road not repaired for several days in near railway station.,Roads,Medium,near railway station
accidents happening on ward 12 road due to no lighting.,Street Lighting,High,Ward 12
New streets in ECIL have no street light installed.,Street Lighting,Medium,ECIL
New colony Anna Nagar not provided with street lights!,Street Lighting,Medium,Anna Nagar
Power cuts happening frequently in Station Road.,Electricity,Medium,Station Road
the stretch of road near ward 7 is damaged and dangerous.,Roads,High,Ward 7
The stretch of road near outer ring road is damaged and dangerous.,Roads,High,outer ring road
drainage work done but not completed in ashok nagar.,Drainage,Medium,Ashok Nagar
Drainage system in Ambedkar Nagar is choked and needs cleaning!,Drainage,Medium,Ambedkar Nagar
garbage has not been collected in mg road for 3 days.,Sanitation,Medium,MG Road
Street light pole broken near Begumpet.,Street Lighting,Medium,Begumpet
road divider broken on outer ring road highway.,Roads,Medium,outer ring road
Many potholes on the main road in Ward 12 causing accidents!,Roads,High,Ward 12
Sewage water on road in near school creating unhygienic conditions.,Drainage,Medium,near school
No sanitation service in our locality in Bose Nagar.,Sanitation,Medium,Bose Nagar
Irregular water supply in Ward 5 residential area!,Water Supply,Medium,Ward 5
No power supply to Srinivasa Nagar area for yesterday.,Electricity,Medium,Srinivasa Nagar
Digging work done on Old Town road not filled properly!,Roads,Medium,Old Town
our entire street has been without water since last week.,Water Supply,Medium,Ward 7
Water contamination noticed in Ambedkar Nagar supply.,Water Supply,Critical,Ambedkar Nagar
Street lights not working in Lakshmi Puram for several days!,Street Lighting,Medium,Lakshmi Puram
Open garbage dumped near RTC Bus Stand park!,Sanitation,Medium,RTC Bus Stand
electric wire hanging low on anna nagar road dangerous.,Electricity,Medium,Anna Nagar
Electricity meter tampered in Jubilee Hills apartment.,Electricity,Medium,Jubilee Hills
Drain near Kukatpally is blocked and water is overflowing.,Drainage,Medium,Kukatpally
sewage water mixing with drinking water in jubilee hills.,Water Supply,Medium,Jubilee Hills
Bridge on Begumpet road is damaged and unsafe.,Roads,High,Begumpet
street lights remain on during daytime in ramaiah street wasting electricity.,Street Lighting,Medium,Ramaiah Street
Unhygienic conditions in Ameerpet market due to garbage.,Sanitation,Medium,Ameerpet
underground drainage choked in gandhi nagar for a month.,Drainage,Medium,Gandhi Nagar
Water is not supplied for 5 days and people are suffering.,Water Supply,Medium,Gandhi Nagar
unhygienic conditions in rtc bus stand market due to garbage.,Sanitation,Medium,RTC Bus Stand
Ring road near Station Road damaged and needs resurfacing!,Roads,Medium,Station Road
road markings faded on near government hospital road posing danger.,Roads,Low,near government hospital
Electricity bill is incorrect for connection in Station Road.,Electricity,Medium,Station Road
Ring road near near railway station damaged and needs resurfacing.,Roads,Medium,near railway station
Drain not cleaned in New Town for 3 months causing flooding.,Drainage,High,New Town
traffic island on rajampet road is broken.,Roads,Medium,Rajampet
Road condition in Anna Nagar is very bad due to potholes!,Roads,Medium,Anna Nagar
road not repaired for last tuesday in gandhi nagar.,Roads,Medium,Gandhi Nagar
underground drainage choked in bhagath singh nagar for yesterday.,Drainage,Medium,Bhagath Singh Nagar
power supply quality poor with low voltage in ward 5.,Electricity,Medium,Ward 5
Septic tank overflow in Market Area colony.,Drainage,Medium,Market Area
bad smell from drain near near government hospital.,Drainage,Medium,near government hospital
Drainage work done but not completed in Rajampet.,Drainage,Medium,Rajampet
Road not repaired for since last month in Jubilee Hills.,Roads,Medium,Jubilee Hills
Dead animals lying on road in ECIL creating health hazard!,Sanitation,High,ECIL
Electricity supply disrupted for 2 months in Patel Nagar.,Electricity,Medium,Patel Nagar
street lights on srinivasa nagar road are dim and not enough.,Street Lighting,Medium,Srinivasa Nagar
The stretch of road near Indira Nagar is damaged and dangerous!,Roads,High,Indira Nagar
the road near near government hospital has too many potholes.,Roads,Medium,near government hospital
Road repair needed urgently in near school.,Roads,Medium,near school
no water coming from tap for more than a week in outer ring road.,Water Supply,High,outer ring road
Road not repaired for a month in Himayatnagar!,Roads,Medium,Himayatnagar
Garbage vehicle not coming to near railway station since 2 weeks.,Sanitation,Medium,near railway station
stormwater drain not maintained in uppal for more than a week.,Drainage,Medium,Uppal
Many potholes on main road in Bhagath Singh Nagar causing accidents.,Roads,High,Bhagath Singh Nagar
bridge on gandhi nagar road is damaged and unsafe.,Roads,High,Gandhi Nagar
Water supply is completely disrupted in our area since yesterday.,Water Supply,High,main junction
Park in Old Town has no lighting making it unsafe!,Street Lighting,High,Old Town
Garbage bins in Ashok Nagar are overflowing.,Sanitation,High,Ashok Nagar
No potable water available in Bose Nagar ward.,Water Supply,Medium,Bose Nagar
Public toilet near LB Nagar is very dirty and needs cleaning.,Sanitation,Medium,LB Nagar
Park in Dilsukhnagar has no lighting making it unsafe.,Street Lighting,High,Dilsukhnagar
Street light cable stolen in Srinivasa Nagar colony.,Street Lighting,Medium,Srinivasa Nagar
Bad smell from drain near Ramaiah Street.,Drainage,Medium,Ramaiah Street
many potholes on the main road in ashok nagar causing accidents.,Roads,High,Ashok Nagar
Sewage water on road in MG Road creating unhygienic conditions!,Drainage,Medium,MG Road
bio-medical waste dumped near dilsukhnagar road.,Sanitation,High,Dilsukhnagar
Rainwater harvesting pit blocked near Old Town.,Drainage,Medium,Old Town
stretch of road near ECIL is damaged and dangerous.,Roads,High,ECIL
electricity supply disrupted for 7 days in bhagath singh nagar.,Electricity,Medium,Bhagath Singh Nagar
Ward Ameerpet has been facing water shortage since a month.,Water Supply,High,Ameerpet
Sewage overflowing on road in Ashok Nagar!,Drainage,High,Ashok Nagar
Road construction incomplete in Market Area for since last month!,Roads,Medium,Market Area
Open garbage dumped near near government hospital park.,Sanitation,High,near government hospital
Flickering street light near Himayatnagar disturbing residents.,Street Lighting,Low,Himayatnagar
Garbage has not been collected in Srinivasa Nagar for last Tuesday.,Sanitation,Medium,Srinivasa Nagar
There is no electricity supply in Ramaiah Street since 3 days.,Electricity,High,Ramaiah Street
Drainage water entering homes in outer ring road.,Drainage,High,outer ring road
Main water pipe burst on Station Road road causing wastage!,Water Supply,Medium,Station Road
Many potholes on main road in Lakshmi Puram causing accidents.,Roads,High,Lakshmi Puram
